timestamp,x(m),y(m),theta(rad)
1746001649.320268,0.763743,1.615021,1.665267
1746001649.370254,0.762625,1.627215,1.645340
1746001649.420216,0.761942,1.630408,1.641650
1746001649.470248,0.761942,1.630408,1.641650
1746001649.520111,0.761201,1.635444,1.637728
1746001649.570161,0.759434,1.646073,1.631482
1746001649.620144,0.759178,1.650535,1.626461
1746001649.670304,0.758752,1.655152,1.621765
1746001649.720108,0.758154,1.660030,1.617680
1746001649.770157,0.757068,1.664237,1.615717
1746001649.820231,0.757068,1.664237,1.615717
1746001649.870202,0.755692,1.674221,1.609277
1746001649.920153,0.755692,1.674221,1.609277
1746001649.970179,0.754402,1.683379,1.605359
1746001650.020090,0.754402,1.683379,1.605359
1746001650.070166,0.754689,1.690605,1.592265
1746001650.120139,0.753815,1.695393,1.588244
1746001650.170098,0.753258,1.698948,1.584830
1746001650.220075,0.755063,1.702583,1.569721
1746001650.270166,0.755462,1.707551,1.555523
1746001650.320216,0.753986,1.713020,1.549813
1746001650.370155,0.755466,1.717007,1.540589
1746001650.420253,0.757425,1.720951,1.525755
1746001650.470172,0.757425,1.720951,1.525755
1746001650.520408,0.755593,1.729345,1.517340
1746001650.570161,0.756763,1.732946,1.508461
1746001650.620131,0.756763,1.732946,1.508461
1746001650.670091,0.756222,1.740615,1.497998
1746001650.720194,0.756322,1.745604,1.493301
1746001650.770281,0.755727,1.751239,1.490165
1746001650.820128,0.755306,1.755440,1.488271
1746001650.870301,0.755015,1.760113,1.485143
1746001650.920358,0.754841,1.765231,1.481339
1746001650.970204,0.754841,1.765231,1.481339
1746001651.020123,0.754644,1.770166,1.478183
1746001651.070191,0.754560,1.780011,1.472626
1746001651.120267,0.755081,1.784052,1.468507
1746001651.170177,0.755081,1.784052,1.468507
1746001651.220100,0.755468,1.788230,1.464193
1746001651.270153,0.756659,1.796570,1.455732
1746001651.320208,0.757937,1.800795,1.447359
1746001651.370307,0.760008,1.804812,1.435363
1746001651.420224,0.759788,1.808621,1.430935
1746001651.470311,0.759788,1.808621,1.430935
1746001651.520252,0.761376,1.811940,1.423791
1746001651.570151,0.761376,1.811940,1.423791
1746001651.620144,0.761376,1.811940,1.423791
1746001651.670153,0.766398,1.827614,1.380779
1746001651.720116,0.766391,1.831416,1.375114
1746001651.770222,0.765436,1.835390,1.376670
1746001651.820166,0.767554,1.839212,1.370286
1746001651.870445,0.769367,1.843863,1.359422
1746001651.920253,0.769367,1.843863,1.359422
1746001651.970332,0.768717,1.852666,1.357754
1746001652.020241,0.768717,1.852666,1.357754
1746001652.070319,0.770983,1.861524,1.343105
1746001652.120090,0.769917,1.866080,1.343163
1746001652.170163,0.769917,1.866080,1.343163
1746001652.220110,0.772562,1.873166,1.325562
1746001652.270311,0.772562,1.873166,1.325562
1746001652.320270,0.773250,1.881331,1.317710
1746001652.370280,0.776622,1.884529,1.304033
1746001652.420226,0.778367,1.888741,1.293372
1746001652.470183,0.778367,1.888741,1.293372
1746001652.520277,0.782436,1.895836,1.272212
1746001652.570227,0.785752,1.899459,1.255502
1746001652.620110,0.788026,1.904220,1.243786
1746001652.670117,0.790163,1.908903,1.235540
1746001652.720263,0.790163,1.908903,1.235540
1746001652.770198,0.790163,1.908903,1.235540
1746001652.820219,0.796697,1.920764,1.213010
1746001652.870205,0.797657,1.924604,1.207659
1746001652.920179,0.797597,1.928597,1.209888
1746001652.970274,0.798667,1.932865,1.209815
1746001653.020246,0.801314,1.936480,1.202033
1746001653.070202,0.801314,1.936480,1.202033
1746001653.120267,0.801597,1.945164,1.204229
1746001653.170276,0.803863,1.949223,1.202642
1746001653.220133,0.805278,1.953463,1.196233
1746001653.270151,0.805278,1.953463,1.196233
1746001653.320173,0.804440,1.957816,1.198888
1746001653.370265,0.804440,1.957816,1.198888
1746001653.420209,0.811092,1.968730,1.173423
1746001653.470238,0.810881,1.973346,1.170855
1746001653.520144,0.812761,1.976353,1.164351
1746001653.570249,0.815178,1.979472,1.150746
1746001653.620331,0.816455,1.983910,1.142480
1746001653.670214,0.817940,1.987363,1.135812
1746001653.720113,0.821211,1.990120,1.121652
1746001653.770354,0.823063,1.994235,1.111707
1746001653.820146,0.823063,1.994235,1.111707
1746001653.870123,0.828881,1.999653,1.084579
1746001653.920174,0.828881,1.999653,1.084579
1746001653.970127,0.834176,2.007899,1.065687
1746001654.020280,0.834176,2.007899,1.065687
1746001654.070328,0.839075,2.015591,1.054647
1746001654.120182,0.841403,2.019133,1.047847
1746001654.170140,0.842681,2.022769,1.043446
1746001654.220163,0.842156,2.026506,1.048365
1746001654.270204,0.842156,2.026506,1.048365
1746001654.320100,0.847694,2.033004,1.040923
1746001654.370229,0.848628,2.037614,1.035838
1746001654.420278,0.848628,2.037614,1.035838
1746001654.470295,0.849003,2.045382,1.042106
1746001654.520259,0.852324,2.047042,1.029358
1746001654.570205,0.852324,2.047042,1.029358
1746001654.620177,0.855549,2.054010,1.012154
1746001654.670270,0.856136,2.057757,1.015053
1746001654.720253,0.858781,2.059170,1.005166
1746001654.770229,0.860549,2.059959,0.988483
1746001654.820126,0.862891,2.064168,0.979284
1746001654.870207,0.865476,2.067585,0.971978
1746001654.920369,0.865476,2.067585,0.971978
1746001654.970277,0.865476,2.067585,0.971978
1746001655.020173,0.870784,2.073633,0.952189
1746001655.070149,0.875609,2.079795,0.942966
1746001655.120235,0.878424,2.081786,0.934486
1746001655.170225,0.878424,2.081786,0.934486
1746001655.220220,0.883454,2.087569,0.920038
1746001655.270160,0.883454,2.087569,0.920038
1746001655.320107,0.888625,2.092870,0.911743
1746001655.370148,0.892558,2.093902,0.896152
1746001655.420109,0.895006,2.098446,0.886475
1746001655.470150,0.895907,2.103191,0.886011
1746001655.520118,0.895907,2.103191,0.886011
1746001655.570295,0.895907,2.103191,0.886011
1746001655.620269,0.904365,2.111557,0.857014
1746001655.670156,0.904365,2.111557,0.857014
1746001655.720237,0.906619,2.118647,0.855460
1746001655.770254,0.910548,2.119633,0.840626
1746001655.820135,0.910548,2.119633,0.840626
1746001655.870149,0.913667,2.123769,0.829755
1746001655.920237,0.917115,2.130010,0.822294
1746001655.970268,0.919544,2.131647,0.807345
1746001656.020094,0.922139,2.135082,0.799158
1746001656.070182,0.924936,2.138440,0.795172
1746001656.120222,0.928073,2.141810,0.790556
1746001656.170106,0.931279,2.144618,0.783675
1746001656.220345,0.934576,2.147921,0.777215
1746001656.270249,0.938261,2.152482,0.774917
1746001656.320108,0.942252,2.157380,0.775116
1746001656.370291,0.946605,2.161000,0.772555
1746001656.420241,0.950251,2.163159,0.766616
1746001656.470411,0.951068,2.167090,0.769983
1746001656.520188,0.951068,2.167090,0.769983
1746001656.570152,0.951068,2.167090,0.769983
1746001656.620174,0.962551,2.174901,0.742633
1746001656.670395,0.962551,2.174901,0.742633
1746001656.720184,0.966431,2.182906,0.737321
1746001656.770225,0.969956,2.183667,0.722907
1746001656.820253,0.973595,2.184956,0.701604
1746001656.870257,0.977692,2.188849,0.687116
1746001656.920213,0.979858,2.193382,0.682143
1746001656.970249,0.982302,2.195029,0.674462
1746001657.020185,0.986353,2.195834,0.658235
1746001657.070171,0.990543,2.198659,0.645879
1746001657.120199,0.993234,2.202786,0.641831
1746001657.170239,0.993234,2.202786,0.641831
1746001657.220287,1.000357,2.205332,0.623175
1746001657.270196,1.002658,2.208634,0.618477
1746001657.320233,1.004285,2.212360,0.618895
1746001657.370322,1.007518,2.215666,0.618590
1746001657.420208,1.011503,2.216955,0.612234
1746001657.470171,1.015307,2.220034,0.606150
1746001657.520464,1.017243,2.224574,0.607056
1746001657.570422,1.017243,2.224574,0.607056
1746001657.620262,1.019826,2.228792,0.609109
1746001657.670258,1.019826,2.228792,0.609109
1746001657.720155,1.030926,2.236611,0.596759
1746001657.770235,1.035250,2.238598,0.594006
1746001657.820122,1.039019,2.239286,0.580491
1746001657.870227,1.039019,2.239286,0.580491
1746001657.920182,1.043501,2.241668,0.567426
1746001657.970182,1.052433,2.246675,0.551171
1746001658.020196,1.055850,2.246436,0.534333
1746001658.070180,1.059936,2.247527,0.519196
1746001658.120155,1.059936,2.247527,0.519196
1746001658.170177,1.065974,2.254737,0.514921
1746001658.220151,1.065974,2.254737,0.514921
1746001658.270171,1.065974,2.254737,0.514921
1746001658.320110,1.065974,2.254737,0.514921
1746001658.370175,1.075014,2.258926,0.485346
1746001658.420116,1.083915,2.261501,0.474769
1746001658.470225,1.086859,2.264460,0.471770
1746001658.520167,1.086859,2.264460,0.471770
1746001658.570225,1.092702,2.269803,0.477235
1746001658.620381,1.096069,2.272239,0.475837
1746001658.670317,1.096069,2.272239,0.475837
1746001658.720256,1.102492,2.277522,0.477752
1746001658.770380,1.106165,2.277760,0.466589
1746001658.820180,1.106165,2.277760,0.466589
1746001658.870226,1.106165,2.277760,0.466589
1746001658.920189,1.116488,2.286572,0.465096
1746001658.970151,1.120645,2.285911,0.452324
1746001659.020128,1.124325,2.287717,0.441964
1746001659.070252,1.126479,2.290749,0.444689
1746001659.120119,1.130739,2.291094,0.440198
1746001659.170234,1.134401,2.290574,0.424702
1746001659.220273,1.138723,2.291345,0.407783
1746001659.270156,1.143605,2.294692,0.399656
1746001659.320217,1.147483,2.296117,0.391653
1746001659.370224,1.147483,2.296117,0.391653
1746001659.420198,1.155858,2.297855,0.368070
1746001659.470291,1.155858,2.297855,0.368070
1746001659.520433,1.155858,2.297855,0.368070
1746001659.570208,1.168944,2.302050,0.351575
1746001659.620111,1.171083,2.305437,0.356445
1746001659.670234,1.174996,2.306744,0.356706
1746001659.720160,1.179203,2.307184,0.349870
1746001659.770148,1.181366,2.310070,0.354105
1746001659.820114,1.183859,2.313525,0.364513
1746001659.870241,1.187504,2.316122,0.369044
1746001659.920210,1.191528,2.318056,0.369304
1746001659.970165,1.193819,2.320881,0.372525
1746001660.020203,1.197346,2.324088,0.378633
1746001660.070156,1.197346,2.324088,0.378633
1746001660.120210,1.197346,2.324088,0.378633
1746001660.170238,1.209840,2.327956,0.366573
1746001660.220241,1.213855,2.329985,0.365173
1746001660.270211,1.213855,2.329985,0.365173
1746001660.320245,1.221705,2.332747,0.360504
1746001660.370238,1.225572,2.333501,0.355968
1746001660.420092,1.229998,2.334103,0.350466
1746001660.470335,1.229998,2.334103,0.350466
1746001660.520093,1.238971,2.336995,0.342703
1746001660.570099,1.243007,2.338588,0.339783
1746001660.620414,1.246641,2.340441,0.338469
1746001660.670518,1.246641,2.340441,0.338469
1746001660.720208,1.246641,2.340441,0.338469
1746001660.770240,1.258623,2.346568,0.333840
1746001660.820225,1.262539,2.348727,0.334868
1746001660.870508,1.262539,2.348727,0.334868
1746001660.920192,1.269962,2.352641,0.329418
1746001660.970126,1.273645,2.355209,0.332948
1746001661.020166,1.277548,2.355292,0.326752
1746001661.070227,1.277548,2.355292,0.326752
1746001661.120209,1.284825,2.359308,0.318032
1746001661.170321,1.288870,2.359620,0.309883
1746001661.220298,1.288870,2.359620,0.309883
1746001661.270418,1.297134,2.362672,0.300779
1746001661.320278,1.297134,2.362672,0.300779
1746001661.370221,1.304399,2.363702,0.285644
1746001661.420144,1.308319,2.364445,0.280253
1746001661.470158,1.311265,2.365676,0.278658
1746001661.520206,1.311265,2.365676,0.278658
